# Fe I 5000.172 Å line profiles with different damping
# Wavelength(Å), Opacity_weak(cm⁻¹), Opacity_normal(cm⁻¹), Opacity_strong(cm⁻¹)
4999.902, 1.2397523320965158e-9, 4.141629278513475e-9, 1.2397523320965158e-7
4999.912, 1.3369571971760096e-9, 4.466360682362806e-9, 1.3369571971760096e-7
4999.922, 1.4460586887775414e-9, 4.8308350376417115e-9, 1.4460586887775416e-7
4999.932, 1.5690803744757046e-9, 5.2418124580414575e-9, 1.5690803744757046e-7
4999.942, 1.7084951056945452e-9, 5.707553975700554e-9, 1.708495105694545e-7
4999.952, 1.8673502606076313e-9, 6.238239939015695e-9, 1.8673502606076313e-7
4999.962, 2.0494356947007937e-9, 6.846531083550818e-9, 2.0494356947007937e-7
4999.972, 2.2595118914829133e-9, 7.54833071303024e-9, 2.2595118914829134e-7
4999.982, 2.2096921200659937e-9, 7.381896109484972e-9, 2.209691211241011e-7
4999.992, 2.11224093151166e-9, 7.0562984075316445e-9, 2.1122216633852564e-7
5000.002, 1.9761163927702236e-9, 6.600969483080592e-9, 1.9758522680944901e-7
5000.012, 1.7906665968025295e-9, 5.9753908264773825e-9, 1.7878443654396553e-7
5000.022, 1.5555292887738675e-9, 5.13773018346537e-9, 1.530654511525648e-7
5000.032, 1.36583450350711e-9, 4.124507659735212e-9, 1.1804448169139802e-7
5000.042, 1.891941095830376e-9, 3.521548283790061e-9, 7.08165114855954e-8
5000.052, 6.6225898489316e-9, 6.6927719999457105e-9, 9.59095832657285e-9
5000.062, 2.805395260349094e-8, 2.7836327448303106e-8, 1.8849452010862004e-8
5000.072, 1.0512490005441111e-7, 1.0434067656212642e-7, 7.19560065353792e-8
5000.082, 3.473724434740353e-7, 3.449131142601249e-7, 2.4335460974810274e-7
5000.092, 1.0122077242737495e-6, 1.0055406727914457e-6, 7.302234138341457e-7
5000.102, 2.6009805609440817e-6, 2.585537865928021e-6, 1.9478286065919363e-6
5000.112, 5.8939925030576646e-6, 5.864101817498826e-6, 4.629759824151784e-6
5000.122, 1.1778837774223506e-5, 1.1732785056225657e-5, 9.831028617062795e-6
5000.132, 2.0760250289048104e-5, 2.0711146200496637e-5, 1.8683382788219074e-5
5000.142, 3.22707277139656e-5, 3.225797897590814e-5, 3.1731517221943746e-5
5000.152, 4.4238975716520165e-5, 4.432112094037781e-5, 4.771332481475125e-5
5000.162, 5.347129993391589e-5, 5.3676844055510915e-5, 6.216483073186032e-5
5000.172, 5.6962628365361684e-5, 5.722875990887742e-5, 6.821871660522357e-5
5000.182, 5.347132697964967e-5, 5.3676871538549655e-5, 6.216487627349675e-5
5000.192, 4.423915446700587e-5, 4.432130161673124e-5, 4.771358502020794e-5
5000.202, 3.227116718595407e-5, 3.2258420785572397e-5, 3.173205556640932e-5
5000.212, 2.0760919806172134e-5, 2.0711816471176335e-5, 1.868408417713478e-5
5000.222, 1.1779579281649045e-5, 1.1733525242147689e-5, 9.83171423122639e-6
5000.232, 5.894633458066136e-6, 5.864740370018666e-6, 4.630299165410633e-6
5000.242, 2.6014296383178753e-6, 2.585984657355946e-6, 1.9481809994161808e-6
5000.252, 1.0124685766469286e-6, 1.0057999528893511e-6, 7.304177665020145e-7
5000.262, 3.474999019535915e-7, 3.450397188441081e-7, 2.4344595253919265e-7
5000.272, 1.051778127442727e-7, 1.043932086033495e-7, 7.199281961297115e-8
5000.282, 2.807274787897198e-8, 2.7854980506653062e-8, 1.8862232183602522e-8
5000.292, 6.6283525758269384e-9, 6.697480258411929e-9, 9.552122094894832e-9
5000.302, 1.8929992952448263e-9, 3.5217147550135583e-9, 7.077985385820204e-8
5000.312, 1.3657966135114884e-9, 4.123717533192057e-9, 1.1801262780227495e-7
5000.322, 1.5553068552334209e-9, 5.1368764061422985e-9, 1.530385259041943e-7
