# Multiple Fe I lines (blended)
# Wavelength(Å), Opacity_single(cm⁻¹), Opacity_blended(cm⁻¹)
5000.592, 1.7120641327818332e-9, 3.759830433221246e-7
5000.602, 1.6333657161348756e-9, 9.636302138455479e-7
5000.612, 1.5599717396975615e-9, 2.1826939270608428e-6
5000.622, 1.4914159837082698e-9, 4.364257012596737e-6
5000.632, 1.4272823468795207e-9, 7.701000101817009e-6
5000.642, 1.3671985174286797e-9, 1.199147584834596e-5
5000.652, 1.3108305572996866e-9, 1.647314029747503e-5
5000.662, 1.2578782520074402e-9, 1.994859560834312e-5
5000.672, 1.2080711048614363e-9, 2.126796106121086e-5
5000.682, 1.1611648755298458e-9, 1.994850910326367e-5
5000.692, 1.1169385800210149e-9, 1.6473013520251487e-5
5000.702, 1.075191883060506e-9, 1.1991347978478475e-5
5000.712, 1.0357428253392051e-9, 7.700857618501285e-6
5000.722, 9.984258373199604e-10, 4.364039119340773e-6
5000.732, 9.6308999907947e-10, 2.1823344345315636e-6
5000.742, 9.295975119599008e-10, 9.630925997361302e-7
5000.752, 8.978223530378468e-10, 3.752652596803426e-7
5000.762, 8.676490878825598e-10, 1.2934931175278724e-7
5000.772, 8.389718206211577e-10, 3.973020904215067e-8
5000.782, 8.116932635252083e-10, 1.1194426162066866e-8
5000.792, 7.8572391075338e-10, 3.281881272665134e-9
5000.802, 7.60981303182677e-10, 2.0699267453002264e-9
5000.812, 7.373893729847789e-10, 2.268754145359174e-9
5000.822, 7.148778582682653e-10, 2.6227323068944867e-9
5000.832, 6.933817793033394e-10, 2.91275396918859e-9
5000.842, 6.728409690660587e-10, 3.124921477669721e-9
5000.852, 6.531996517391154e-10, 3.274687433639051e-9
5000.862, 6.34406063679073e-10, 3.3770590569890674e-9
5000.872, 6.16412111986658e-10, 3.4230149206564387e-9
5000.882, 5.99173066519163e-10, 3.1448547292427965e-9
5000.892, 5.826472816222784e-10, 2.9021722879357834e-9
5000.902, 5.667959443714083e-10, 2.6890163467395406e-9
5000.912, 5.515828464591706e-10, 2.5006437538647964e-9
5000.922, 5.369741772258163e-10, 2.3332358932155817e-9
5000.932, 5.229383356299588e-10, 2.1836899071154973e-9
5000.942, 5.094457592040668e-10, 2.04946297752808e-9
5000.952, 4.96468768256529e-10, 1.9284547912246627e-9
5000.962, 4.839814237860426e-10, 1.8189178469308765e-9
5000.972, 0.0, 1.2474289130407153e-9
5000.982, 0.0, 1.1682523533946155e-9
5000.992, 0.0, 1.0963818373945705e-9
5001.002, 0.0, 1.0309453548078434e-9
5001.012, 0.0, 9.711972156512935e-10
